Date,ARG,AUS,CAN,DEU,FRA,GBR,IDN,IND,ITA,JPN,KOR,MEX,NZL,RUS,SAU,TUR,USA,ZAF,BRA
2019-06-30,30356184.2,2008573.6,2339726.3,3602206.5,2514642,2356786.9,15684723433,204864321.2,1841055.6,567310252.9,2072429701,26327353.6,324987.9,111085961.2,2992706.6,5060662.7,21706737.3,5932580.1,7867961.1
2019-09-30,30332544.1,2019830.4,2346268.7,3616009.6,2514338,2369764,15865669971,206193673.4,1831082.4,568400141.5,2076663701,26327403.4,327794.2,109999145.5,2976009.8,5061911.7,21960706.6,5938815.7,7864571.1
2019-12-31,29921612.1,2032048.1,2352967.6,3603932.1,2502208,2369905.4,16032793848,206556695.8,1826263.6,551911270.5,2097380502,26135938.2,329911.5,109501412.8,3009917.5,5141008.7,22110451.8,5936665.2,7929423.1
2020-03-31,28592424.6,2029367.3,2307086.2,3530776.6,2375375.2,2304853.6,15934310686,206975038.1,1722243.6,554810573.9,2070448101,25831737.7,327145.1,109286436,2942492.1,5159149.4,21822832,5934278.1,7753456.6
2020-06-30,24550656.5,1892363.4,2053308.1,3217451.2,2085232,1846045.7,14846758153,159824937.6,1507192.8,512603736,2013844898,20938749.5,294562.9,104384937.1,2793300.1,4623599.8,20103894.6,4934792.3,7069891.9
2020-09-30,27174480.9,1958499.1,2239820.7,3496614.6,2405561.2,2159221.4,15326532143,195901883.1,1720832.4,540522984.4,2058460100,24188524.5,335738.8,107284832.7,2864063.6,5348353.4,21664415,5613641.3,7626330
2020-12-31,28521694.5,2025469.1,2281893,3530431.7,2403018.4,2188759.2,15665811818,209187069,1725544.8,549729149.2,2091113302,25234514.1,337296.8,108078465,2919412.3,5416205.6,21909984.4,5768329.2,7909145.4
2021-03-31,29496209,2070876,2320766.7,3508692.3,2412623.2,2165204.6,15828113967,212033303.3,1754179.2,551120607,2122924503,25424550.1,344327.5,108814251.6,2966125.3,5561392.7,22215807.6,5800649.8,7985291.6
2021-06-30,29587053.5,2087101.3,2318046.9,3591164.4,2441958,2316385.3,15909761526,196715831.6,1797248.8,554695816.6,2152479705,25655087.5,347443.4,112286442.3,2994723.4,5650514.4,22593896.5,5881154.7,7936531.2
2021-09-30,30187130.7,2051720.2,2364744.1,3594270,2515002,2355454.5,15946848554,215340859.5,1840995.2,552767262.1,2152430505,25418670,332782.7,111394319.9,3115937.2,5848848.8,22780308.1,5778932.2,7946271.9
2021-12-31,30933654,2124335.8,2407082.6,3613594,2529086,2387904.4,16376087578,219477793.3,1871076.4,558931339.4,2185857306,25722012.3,345875.5,,3193491.9,5956157.8,23171162.4,5871404.2,8039880.8
2022-03-31,31667523.3,2145197.9,2435610,3638094.1,2526663.6,2412102.2,16568857623,220695744.2,1884126.8,556336662.6,2194183307,26110934,346170.1,,3325585,5938625.3,23112122.6,5960716.4,8105014.8
2022-06-30,32292857.4,2166101,2460651.9,3643615.2,2537803.6,2425560,16763480115,222619169.5,1911774,561418698.8,2213591308,26399758.7,350759.1,,3417750.2,6038409,23148303.9,5906341.7,8201625.9
2022-09-30,32024537.4,2176075.5,2473327.8,3654312.4,2550668.4,2428012.6,16955745316,227310082,1916721.6,559614074,2224521308,26576715.3,359627.4,,3497128.2,6092881.4,23315411.4,6015886.9,8281206.6
2022-12-31,31456308.7,2191018.5,2469939.2,3641544.9,2560503.6,2434331.6,17172562189,230623962.1,1911985.2,560809445.5,2216339708,26919715.4,359054.3,,3502322.9,6152092.4,23476343.8,5929403.2,8317839.9
2023-03-31,31714280.1,2202200.1,2503395.1,3624377.5,2562439.2,2435706.3,17381139215,236526324.1,1925695.6,568130370.1,2224225708,27131760.6,357585.1,,3515476,6104152.1,23646277.5,5970429,8428980.5
2023-06-30,30953281.5,2210198.3,2506966.3,3621616.8,2585514,2436713.5,17609197081,243456697.3,1924024.4,569258273.4,2239462509,27338343.5,361100.5,,3495882.4,6394003.7,23794745.9,6018848.6,8500021.2
2023-09-30,31544466.8,2221260.2,2501311.7,3621616.9,2590525.6,2430875.2,17829610770,248461608.3,1926609.6,564646681,2256974110,27492395.2,361180.4,,3398069,6443818,24069243.5,5995840.1,8507511.9
2023-12-31,30864159.3,2224029.9,2500354,3611609.6,2602233.2,2423061.4,18046801886,252967270.6,1930162.8,564006241.5,2268049310,27604675.4,361644.8,,3407923.2,6487002.9,24272401.7,6019182.9,8534536.3
2024-03-31,30312434.2,2227586.2,2504773.3,3607727.8,2605982,2443414.1,18276460509,256480494.5,1931820,562770001.6,2294669312,27617675.9,362199,,3484531.5,6542172.5,24323340,6024355.5,8609242.8
2024-06-30,30080776.2,2230677.4,2520589.4,3598410.7,2610967.2,2458985.3,18488246889,259782739.9,1935056.4,565469346.1,2289428511,27651927.3,359337.8,,3518049.1,6534078,24538719.9,6039800.1,8740520.8
2024-09-30,31164440.1,2238162.5,2535615.8,3599100.9,2619824.8,2463791.6,18717498801,263765847.8,1937265.6,568698449.4,2291464511,27895076.8,355757.5,,3530298.1,6575296.5,24741109.9,6022257.1,8809538.8
2024-12-31,31838850.8,2251871.1,2548544.1,3605657.4,2618568.8,2469725.3,18949384499,268698057.2,1940110,571592045.5,2293247311,27724882.8,358229.2,,3560338.5,6661749,24854888,6046273.4,8815212.4
2025-03-31,32112578.9,2257670.5,2561398.4,3616699.5,2620882.8,2486074,19176700957,274155804.1,1946067.6,572018563.5,2288230911,27800581.6,362668.4,,3599670.7,6711571.9,24814494.7,6052916.3,8930461.8
2025-06-30,32092983,2271238.9,2551205.6,3609107.9,2629634.4,2492947.7,19422539929,278838961.7,1945073.6,575089799.1,2303673312,27978097,359447.6,,3661363.1,6820073.6,25049239.7,6103280.8,8963773.3
