Date,USA,CAN,GBR,DEU,FRA,ITA,JPN,AUS,NZL,KOR,IDN,BRA,MEX,RUS,SAU,ZAF,TUR,IND,ARG
2019-06-30,2941.76,16382.2,19462.1,12398.8,5538.97,21234.79,21275.92,6699.174,10501.1,2130.62,6358.629,100967.2,43161.17,2765.85,8821.76,52198.94,964.85,39394.64,41796.36
2019-09-30,2976.74,16658.63,19936.67,12428.08,5677.79,22107.7,21755.84,6800.564,10925.62,2063.05,6169.102,104745.3,43011.27,2747.18,8091.76,48813.59,1050.33,38667.33,29066.96
2019-12-31,3230.78,17063.43,21883.42,13249.01,5978.06,23506.37,23656.62,6802.4,11491.9,2197.67,6299.54,115645.3,43541.02,3045.87,8389.23,50816.05,1144.25,41253.74,41671.41
2020-03-31,2584.59,13378.75,15101.13,9935.84,4396.12,17050.94,18917.01,5110.563,9796.75,1754.64,4538.93,73019.8,34554.53,2508.81,6505.35,40738.57,896.44,29468.49,24384.24
2020-06-30,3100.29,15515.22,17119.16,12310.93,4935.99,19375.52,22288.14,6001.35,11451.05,2108.33,4905.392,95055.8,37716.43,2743.2,7224.09,50174.95,1165.25,34915.8,38686.69
2020-09-30,3363,16121.38,17315.3,12760.73,4803.44,19015.27,23185.12,6009.343,11747.28,2327.89,4870.039,94603.4,37458.69,2905.81,8299.08,50042.44,1145.24,38067.93,41260.86
2020-12-31,3756.07,17433.36,20488.3,13718.78,5551.41,22232.9,27444.17,6850.614,13091.64,2873.47,5979.073,119017.2,44066.88,3289.02,8689.53,54379.58,1476.72,47751.33,51226.49
2021-03-31,3972.89,18700.67,21518.71,15008.34,6067.23,24648.56,29178.8,7016.989,12560.7,3061.42,5985.522,116633.7,47246.26,3541.72,9907.82,60881.15,1391.73,49509.15,47982.39
2021-06-30,4297.5,20165.58,22376.02,15531.04,6507.83,25102.04,28791.53,7584.96,12654.6,3296.68,5985.489,126801.7,50289.75,3841.85,10984.15,60161.76,1356.34,52482.71,62371.95
2021-09-30,4307.54,20070.25,23031.29,15260.69,6520.01,25683.81,29452.66,7629.744,13275.76,3068.82,6286.943,110979.1,51385.55,4103.52,11495.76,57863.4,1406.39,59126.36,77363.64
2021-12-31,4766.18,21222.84,23480.81,15884.86,7153.03,27346.83,28791.71,7779.212,13033.77,2977.65,6581.482,104822.4,53272.43,3787.26,11281.71,67052.4,1857.65,58253.82,83500.11
2022-03-31,4530.41,21890.16,21160.07,14414.75,6659.87,25021.26,27821.43,7789.565,12110.26,2757.65,7071.442,119999.23,56536.68,2703.51,13090.4,68507.85,2233.3,58568.51,90959.59
2022-06-30,3785.38,18861.36,18666.78,12783.77,5922.86,21293.86,26393.04,6746.474,10868.7,2332.64,6911.582,98541.95,47524.45,2204.85,11523.25,60109.04,2405.36,53018.94,88449.89
2022-09-30,3585.62,18444.22,17168.34,12114.36,5762.34,20648.85,25937.21,6678.667,11065.71,2155.49,7040.798,110036.79,44626.8,1957.31,11405.32,57389.7,3179.99,57426.92,139115.1
2022-12-31,3839.5,19384.92,18853,13923.59,6473.76,23706.96,26094.5,7221.7,11473.24,2236.4,6850.619,109734.6,48463.86,2154.12,10478.46,66955.47,5509.16,60840.74,202085.1
2023-03-31,4109.31,20099.89,18928.3,15628.84,7322.39,27113.95,28041.48,7373.342,11884.5,2476.86,6805.277,101882.2,53904,2450.67,10590.1,70497.7,4812.93,58991.52,245716.2
2023-06-30,4450.38,20155.29,18416.76,16147.9,7400.06,28230.83,33189.04,7401.536,11916.47,2564.28,6661.879,118087,53526.1,2797.37,11458.98,70705.47,5759.11,64718.56,426280.97
2023-09-30,4288.05,19541.27,18279.42,15386.58,7135.06,28243.92,31857.62,7249.7,11296.43,2465.07,6939.892,116565.17,50874.98,3133.26,11055.96,66500.11,8334.94,65828.41,562568.5
2023-12-31,4769.83,20958.44,19689.63,16751.64,7543.18,30351.62,33464.17,7829.5,11770.49,2655.28,7272.797,134185.23,57386.25,3099.11,11967.39,70494.8,7470.18,72240.26,929704.2
2024-03-31,5254.35,22167.03,19884.73,18492.49,8205.81,34750.35,40369.44,8153.7,12105.29,2746.63,7288.813,128106.1,57369.01,3332.53,12401.56,68346.21,9142.4,73651.35,1213485
2024-06-30,5460.48,21875.79,20286.03,18235.45,7479.4,33541.98,39583.08,8013.8,11717.43,2797.82,7063.577,123906.55,52440.02,3154.36,11679.5,72979.42,10647.91,79032.73,1611295
2024-09-30,5762.48,24000.37,21053.19,19324.93,7635.75,34125.26,37919.55,8538.4,12423.82,2593.27,7527.929,131816.44,52477.3,2857.56,12226.1,78506.28,9665.78,84299.78,1697401
2024-12-31,5881.63,24727.94,20622.61,19909.14,7380.74,34186.18,39894.54,8420.5,13110.74,2399.49,7079.9,120283.4,49513.27,2883.04,12036.5,75381.31,9830.56,78139.01,2533635
2025-03-31,5611.85,24917.5,19475.48,22163.49,7790.71,38051.99,35617.56,8053.2,12270,2481.12,6510.62,130259.54,52484.43,3013.36,12025.05,81410.32,9659.48,77414.92,2338760.75
2025-06-30,6204.95,26857.12,21626.26,23909.61,7665.91,39792.22,40487.39,8773,12602.82,3071.7,6927.68,138854.6,57450.88,2847.38,11163.96,88757.81,9948.51,83606.46,1994824.5
